"theta","Points:0","Points:1","Points:2"
-1.1688,0,0,0.05
-0.69746,0.00041667,0,0.05
-0.27317,0.00083333,0,0.05
0.11556,0.00125,0,0.05
0.46875,0.0016667,0,0.05
0.77538,0.0020833,0,0.05
1.0359,0.0025,0,0.05
1.2616,0.0029167,0,0.05
1.4612,0.0033333,0,0.05
1.6348,0.00375,0,0.05
1.7748,0.0041667,0,0.05
1.8856,0.0045833,0,0.05
1.9778,0.005,0,0.05
2.0562,0.0054167,0,0.05
2.121,0.0058333,0,0.05
2.1682,0.00625,0,0.05
2.2022,0.0066667,0,0.05
2.2293,0.0070833,0,0.05
2.2514,0.0075,0,0.05
2.2685,0.0079167,0,0.05
2.2792,0.0083333,0,0.05
2.2859,0.00875,0,0.05
2.291,0.0091667,0,0.05
2.2948,0.0095833,0,0.05
2.2976,0.01,0,0.05
2.2989,0.010417,0,0.05
2.2995,0.010833,0,0.05
2.2998,0.01125,0,0.05
2.3001,0.011667,0,0.05
2.3002,0.012083,0,0.05
2.3002,0.0125,0,0.05
2.3002,0.012917,0,0.05
2.3001,0.013333,0,0.05
2.3001,0.01375,0,0.05
2.3,0.014167,0,0.05
2.3,0.014583,0,0.05
2.3,0.015,0,0.05
2.3,0.015417,0,0.05
2.3,0.015833,0,0.05
2.3,0.01625,0,0.05
2.3,0.016667,0,0.05
2.3,0.017083,0,0.05
2.3,0.0175,0,0.05
2.3,0.017917,0,0.05
2.3,0.018333,0,0.05
2.3,0.01875,0,0.05
2.3,0.019167,0,0.05
2.3,0.019583,0,0.05
2.3,0.02,0,0.05
2.3,0.020417,0,0.05
2.3,0.020833,0,0.05
2.3,0.02125,0,0.05
2.3,0.021667,0,0.05
2.3,0.022083,0,0.05
2.3,0.0225,0,0.05
2.3,0.022917,0,0.05
2.3,0.023333,0,0.05
2.3,0.02375,0,0.05
2.3,0.024167,0,0.05
2.3,0.024583,0,0.05
2.3,0.025,0,0.05
2.3,0.025417,0,0.05
2.3,0.025833,0,0.05
2.3,0.02625,0,0.05
2.3,0.026667,0,0.05
2.3,0.027083,0,0.05
2.3,0.0275,0,0.05
2.3,0.027917,0,0.05
2.3,0.028333,0,0.05
2.3,0.02875,0,0.05
2.3,0.029167,0,0.05
2.3,0.029583,0,0.05
2.3,0.03,0,0.05
2.3,0.030417,0,0.05
2.3,0.030833,0,0.05
2.3,0.03125,0,0.05
2.3,0.031667,0,0.05
2.3,0.032083,0,0.05
2.3,0.0325,0,0.05
2.3,0.032917,0,0.05
2.3,0.033333,0,0.05
2.3,0.03375,0,0.05
2.3,0.034167,0,0.05
2.3,0.034583,0,0.05
2.3,0.035,0,0.05
2.3,0.035417,0,0.05
2.3,0.035833,0,0.05
2.3,0.03625,0,0.05
2.3,0.036667,0,0.05
2.3,0.037083,0,0.05
2.3,0.0375,0,0.05
2.3,0.037917,0,0.05
2.3,0.038333,0,0.05
2.3,0.03875,0,0.05
2.3,0.039167,0,0.05
2.3,0.039583,0,0.05
2.3,0.04,0,0.05
2.3,0.040417,0,0.05
2.3,0.040833,0,0.05
2.3,0.04125,0,0.05
2.3,0.041667,0,0.05
2.3,0.042083,0,0.05
2.3,0.0425,0,0.05
2.3,0.042917,0,0.05
2.3,0.043333,0,0.05
2.3,0.04375,0,0.05
2.3,0.044167,0,0.05
2.3,0.044583,0,0.05
2.3,0.045,0,0.05
2.3,0.045417,0,0.05
2.3,0.045833,0,0.05
2.3,0.04625,0,0.05
2.3,0.046667,0,0.05
2.3,0.047083,0,0.05
2.3,0.0475,0,0.05
2.3,0.047917,0,0.05
2.3,0.048333,0,0.05
2.3,0.04875,0,0.05
2.3,0.049167,0,0.05
2.3,0.049583,0,0.05
2.3,0.05,0,0.05
